Scenario,ReturnPeriod,Climate,Maintenance,Region,Mode,Asset,Baseline_Value,RingBunds_Value,Reduction_Absolute,Reduction_Percentage
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,buildHigh,271800,271800,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,telecom,1,1,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,electric,15420,15420,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,railways,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,hospitals,1,1,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,bhu,3,3,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,schools,8,8,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,roads,75120,75120,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Exp,hydraulic,11250,11250,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,crop,16145246.7,16145246.7,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,buildLow56,24672362.4,24672362.4,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,buildLow44,54096045.69,54096045.69,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,buildHigh,9982047.15,9982047.15,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,telecom,25000.2,25000.2,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,electric,34830,34830,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,railways,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,hospitals,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,bhu,41272.6,41272.6,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,schools,127896.5,127896.5,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,roads,3277476,3277476,0,0.00
2.3_future_perfect,2.3,future,perfect,Dadu,Dmg,hydraulic,10800,10800,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,crop,19.89,19.89,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,buildLow56,0,0,0,0.00
2.3_future_perfect,2.3,future,perfect,Jacobabad,Exp,buildLow44,0,0,0,0.00
